SETTLEMENTDATE,TOTALDEMAND,RRP,REGION
2021-10-01 00:00:00,1329.5118181818182,6.109999999999999,SA1
2021-10-01 01:00:00,1264.2283333333332,6.197500000000001,SA1
2021-10-01 02:00:00,1162.0516666666667,-0.5291666666666667,SA1
2021-10-01 03:00:00,1071.3866666666665,-0.5933333333333334,SA1
2021-10-01 04:00:00,1036.3291666666667,0.6250000000000001,SA1
2021-10-01 05:00:00,1052.3408333333334,10.272499999999999,SA1
2021-10-01 06:00:00,1130.4466666666667,26.50583333333333,SA1
2021-10-01 07:00:00,1221.0366666666666,40.666666666666664,SA1
2021-10-01 08:00:00,1218.3908333333334,43.017500000000005,SA1
2021-10-01 09:00:00,1123.3816666666667,31.33666666666667,SA1
2021-10-01 10:00:00,1022.5975,22.886666666666667,SA1
2021-10-01 11:00:00,1039.4158333333332,22.8725,SA1
2021-10-01 12:00:00,975.1424999999999,23.97583333333333,SA1
2021-10-01 13:00:00,965.8633333333333,-7.234999999999999,SA1
2021-10-01 14:00:00,841.4425,-2.607500000000001,SA1
2021-10-01 15:00:00,835.215,-11.929166666666667,SA1
2021-10-01 16:00:00,904.5683333333333,27.924166666666665,SA1
2021-10-01 17:00:00,1114.3966666666668,74.77666666666666,SA1
2021-10-01 18:00:00,1433.7533333333333,185.03833333333333,SA1
2021-10-01 19:00:00,1576.2391666666665,94.2275,SA1
2021-10-01 20:00:00,1543.9475,88.22583333333334,SA1
2021-10-01 21:00:00,1477.3708333333334,77.61,SA1
2021-10-01 22:00:00,1376.6233333333332,80.9675,SA1
2021-10-01 23:00:00,1374.3374999999999,77.67666666666666,SA1
2021-10-02 00:00:00,1411.3691666666666,79.7725,SA1
2021-10-02 01:00:00,1279.0358333333334,61.58416666666667,SA1
2021-10-02 02:00:00,1160.7033333333334,31.873333333333335,SA1
2021-10-02 03:00:00,1081.5891666666666,20.09,SA1
2021-10-02 04:00:00,1061.1583333333333,14.648333333333333,SA1
2021-10-02 05:00:00,1057.6025,12.244166666666667,SA1
2021-10-02 06:00:00,1079.7633333333333,19.9375,SA1
2021-10-02 07:00:00,1051.2725,14.891666666666666,SA1
2021-10-02 08:00:00,971.9883333333333,10.635833333333332,SA1
2021-10-02 09:00:00,716.625,17.773333333333333,SA1
2021-10-02 10:00:00,337.11,5.835,SA1
2021-10-02 11:00:00,224.21083333333334,-123.165,SA1
2021-10-02 12:00:00,219.6725,-84.93833333333333,SA1
2021-10-02 13:00:00,228.15666666666667,-180.88916666666668,SA1
2021-10-02 14:00:00,267.7625,-39.76833333333334,SA1
2021-10-02 15:00:00,410.9283333333333,-23.668333333333333,SA1
2021-10-02 16:00:00,783.195,-1.4008333333333332,SA1
2021-10-02 17:00:00,1098.7883333333332,51.38666666666666,SA1
2021-10-02 18:00:00,1242.065,184.2725,SA1
2021-10-02 19:00:00,1262.48,123.55333333333334,SA1
2021-10-02 20:00:00,1187.9333333333332,63.79750000000001,SA1
2021-10-02 21:00:00,1124.3091666666667,60.54749999999999,SA1
2021-10-02 22:00:00,1102.7358333333334,71.035,SA1
2021-10-02 23:00:00,1100.0816666666667,93.24000000000001,SA1
2021-10-03 00:00:00,1127.4091666666666,68.61916666666666,SA1
2021-10-03 01:00:00,1078.3433333333332,37.66833333333333,SA1
2021-10-03 02:00:00,1039.6366666666665,26.315,SA1
2021-10-03 03:00:00,955.685,15.148333333333333,SA1
2021-10-03 04:00:00,914.065,20.31416666666667,SA1
2021-10-03 05:00:00,889.4033333333333,17.5475,SA1
2021-10-03 06:00:00,916.0483333333333,5.3933333333333335,SA1
2021-10-03 07:00:00,916.75,-9.159166666666666,SA1
2021-10-03 08:00:00,886.2624999999999,-23.646666666666665,SA1
2021-10-03 09:00:00,857.19,-30.375,SA1
2021-10-03 10:00:00,861.8408333333333,-38.06166666666667,SA1
2021-10-03 11:00:00,832.6558333333334,-49.58583333333333,SA1
2021-10-03 12:00:00,777.0816666666666,-78.76083333333334,SA1
2021-10-03 13:00:00,733.52,-71.02666666666667,SA1
2021-10-03 14:00:00,466.215,-105.05,SA1
2021-10-03 15:00:00,443.4708333333333,-113.70833333333333,SA1
2021-10-03 16:00:00,663.5458333333333,-81.60916666666667,SA1
2021-10-03 17:00:00,906.2366666666667,-2.716666666666667,SA1
2021-10-03 18:00:00,1137.1508333333334,12.558333333333332,SA1
2021-10-03 19:00:00,1243.7775,7.359166666666667,SA1
2021-10-03 20:00:00,1229.8816666666667,-12.499166666666666,SA1
2021-10-03 21:00:00,1173.4725,-1.8524999999999998,SA1
2021-10-03 22:00:00,1073.3533333333332,-12.068333333333333,SA1
2021-10-03 23:00:00,1077.3858333333335,-0.8666666666666667,SA1
2021-10-04 00:00:00,1157.8575,-0.8116666666666666,SA1
2021-10-04 01:00:00,1117.3658333333333,-20.143333333333334,SA1
2021-10-04 02:00:00,1036.9375,-22.191666666666666,SA1
2021-10-04 03:00:00,956.9366666666666,-17.791666666666668,SA1
2021-10-04 04:00:00,891.1774999999999,-4.173333333333333,SA1
2021-10-04 05:00:00,910.9625,1.8858333333333333,SA1
2021-10-04 06:00:00,979.9558333333333,7.120833333333334,SA1
2021-10-04 07:00:00,982.4408333333334,-101.63833333333334,SA1
2021-10-04 08:00:00,914.9341666666666,-96.67750000000001,SA1
2021-10-04 09:00:00,926.7066666666666,-50.5525,SA1
2021-10-04 10:00:00,609.2133333333333,-61.35833333333333,SA1
2021-10-04 11:00:00,692.1791666666667,-41.528333333333336,SA1
2021-10-04 12:00:00,925.6766666666667,-45.120000000000005,SA1
