Week,Start,End,MAE,rMAE,RMSE,SMAPE,MBE
Week 1,2025-03-01,2025-03-07,30.485601379707024,0.4107275899710579,44.53788592459524,0.6407116316462959,-0.6197306315222726
Week 2,2025-03-08,2025-03-14,32.87075803271163,0.3407216172202649,44.52454734391118,0.383737618735787,-2.5189202417094387
Week 3,2025-03-15,2025-03-21,29.203120283218727,0.40570680962638217,39.54780370476509,0.5400527350256036,-3.564251096989777
Week 4,2025-03-22,2025-03-28,26.254786942554716,0.5069610675292338,31.489256924767034,0.5182215679538948,-16.378315430001006
