ds,y,SARIMAX,week
2025-03-01 00:00:00,118.8175,118.09689449384732,Week 1
2025-03-01 01:00:00,133.89583333333334,112.70150765989442,Week 1
2025-03-01 02:00:00,117.47333333333334,107.09609379793882,Week 1
2025-03-01 03:00:00,121.25166666666667,107.20098608229229,Week 1
2025-03-01 04:00:00,127.1175,103.42123838821422,Week 1
2025-03-01 05:00:00,140.60666666666663,109.82356883778905,Week 1
2025-03-01 06:00:00,135.57166666666666,90.28344702992126,Week 1
2025-03-01 07:00:00,25.87916666666667,22.2899405874294,Week 1
2025-03-01 08:00:00,16.62666666666665,0.27244015118169784,Week 1
2025-03-01 09:00:00,9.563333333333361,-15.547740788787777,Week 1
2025-03-01 10:00:00,1.316666666666677,-8.001095202964905,Week 1
2025-03-01 11:00:00,-18.076666666666668,-16.348655815520004,Week 1
2025-03-01 12:00:00,-18.599166666666676,-17.214144752670038,Week 1
2025-03-01 13:00:00,7.527500000000003,8.817772979433826,Week 1
2025-03-01 14:00:00,58.295,38.04419500574762,Week 1
2025-03-01 15:00:00,46.995000000000005,58.823591537731616,Week 1
2025-03-01 16:00:00,44.358333333333334,84.35914942228858,Week 1
2025-03-01 17:00:00,141.21583333333334,159.12584006868946,Week 1
2025-03-01 18:00:00,214.21666666666664,255.05702693319415,Week 1
2025-03-01 19:00:00,138.57166666666666,175.63760543935888,Week 1
2025-03-01 20:00:00,123.42083333333332,131.98622592537868,Week 1
2025-03-01 21:00:00,122.26333333333334,128.2525795243469,Week 1
2025-03-01 22:00:00,134.28083333333333,123.20848402292194,Week 1
2025-03-01 23:00:00,126.23999999999998,115.79196248985716,Week 1
2025-03-02 00:00:00,97.60083333333334,102.80013676218474,Week 1
2025-03-02 01:00:00,82.12666666666667,96.3520882819589,Week 1
2025-03-02 02:00:00,83.17416666666666,92.71982565168565,Week 1
2025-03-02 03:00:00,78.80833333333334,91.48805135967609,Week 1
2025-03-02 04:00:00,74.98083333333334,85.09415969183999,Week 1
2025-03-02 05:00:00,86.60166666666667,92.83344055934798,Week 1
2025-03-02 06:00:00,62.46333333333333,73.93467732870079,Week 1
2025-03-02 07:00:00,14.37166666666667,-10.07999645871385,Week 1
2025-03-02 08:00:00,11.085000000000008,-29.84331981157068,Week 1
2025-03-02 09:00:00,19.26666666666668,-21.60543922301791,Week 1
2025-03-02 10:00:00,0.05499999999999261,-13.944246379815354,Week 1
2025-03-02 11:00:00,-5.87166666666667,-15.396164857721004,Week 1
2025-03-02 12:00:00,-9.56416666666668,-34.24681125476491,Week 1
2025-03-02 13:00:00,-29.231666666666683,-30.872120337839817,Week 1
2025-03-02 14:00:00,14.28583333333333,9.514718859774689,Week 1
2025-03-02 15:00:00,32.45500000000001,22.14011166727807,Week 1
2025-03-02 16:00:00,41.5925,21.13998153910663,Week 1
2025-03-02 17:00:00,93.5625,74.61977772355641,Week 1
2025-03-02 18:00:00,90.24,106.65542505862791,Week 1
2025-03-02 19:00:00,65.11583333333333,79.37671203718483,Week 1
2025-03-02 20:00:00,56.3475,58.791361592041184,Week 1
2025-03-02 21:00:00,50.615,48.09454682634035,Week 1
2025-03-02 22:00:00,40.9875,38.05605978640422,Week 1
2025-03-02 23:00:00,41.58166666666667,34.80945791029603,Week 1
2025-03-03 00:00:00,55.2,37.79432561996261,Week 1
2025-03-03 01:00:00,58.593333333333334,35.07882823336257,Week 1
2025-03-03 02:00:00,59.10916666666666,39.2644811316383,Week 1
2025-03-03 03:00:00,59.21249999999999,44.31014245952361,Week 1
2025-03-03 04:00:00,58.13916666666667,54.91043886194751,Week 1
2025-03-03 05:00:00,82.86833333333333,82.39023042673267,Week 1
2025-03-03 06:00:00,105.42833333333331,77.45699743027875,Week 1
2025-03-03 07:00:00,48.82916666666668,17.25580182926157,Week 1
2025-03-03 08:00:00,49.15,-3.6881950375300363,Week 1
2025-03-03 09:00:00,54.13416666666666,-1.2657624676599255,Week 1
2025-03-03 10:00:00,27.966666666666683,-8.043548759845251,Week 1
2025-03-03 11:00:00,44.74333333333333,6.90353039040501,Week 1
2025-03-03 12:00:00,29.23833333333333,-7.359625530533464,Week 1
2025-03-03 13:00:00,32.08,-15.834640643760437,Week 1
2025-03-03 14:00:00,48.3025,12.475533934406045,Week 1
2025-03-03 15:00:00,41.03,19.665137647703673,Week 1
2025-03-03 16:00:00,118.92166666666668,26.42291711499017,Week 1
2025-03-03 17:00:00,61.65166666666666,56.5911577342936,Week 1
2025-03-03 18:00:00,165.38166666666666,97.70629101199067,Week 1
2025-03-03 19:00:00,118.35833333333332,74.65047642114354,Week 1
2025-03-03 20:00:00,93.3625,52.078942651496796,Week 1
2025-03-03 21:00:00,74.37583333333333,45.804081176314035,Week 1
2025-03-03 22:00:00,80.44250000000001,49.15080571802377,Week 1
2025-03-03 23:00:00,81.57833333333333,56.10161729294849,Week 1
2025-03-04 00:00:00,81.365,57.27125393266849,Week 1
2025-03-04 01:00:00,75.18166666666666,52.510855630440524,Week 1
2025-03-04 02:00:00,71.75666666666667,48.75444576437855,Week 1
2025-03-04 03:00:00,73.82000000000001,47.83126252319873,Week 1
2025-03-04 04:00:00,80.36333333333333,52.268938532396014,Week 1
2025-03-04 05:00:00,120.39833333333333,63.20696892917324,Week 1
2025-03-04 06:00:00,143.80916666666667,57.21072795725284,Week 1
2025-03-04 07:00:00,9.373333333333335,-19.44687174003586,Week 1
2025-03-04 08:00:00,-8.041666666666671,-28.518022280638746,Week 1
2025-03-04 09:00:00,17.93083333333334,-46.849614694932896,Week 1
