ds,y,LSTM,Naive,week
2025-03-01 00:00:00,121.69583333333334,144.04022,126.72,Week 1
2025-03-01 01:00:00,134.18916666666672,141.16402,119.66333333333336,Week 1
2025-03-01 02:00:00,120.74750000000002,129.83588,86.76333333333335,Week 1
2025-03-01 03:00:00,123.31583333333333,121.4297,119.31666666666666,Week 1
2025-03-01 04:00:00,123.52416666666667,116.41211,120.31333333333333,Week 1
2025-03-01 05:00:00,134.32583333333338,113.607666,120.02666666666667,Week 1
2025-03-01 06:00:00,145.15250000000003,118.46624,120.10166666666669,Week 1
2025-03-01 07:00:00,83.37333333333335,79.3619,121.45333333333333,Week 1
2025-03-01 08:00:00,92.01000000000002,53.062485,120.95333333333333,Week 1
2025-03-01 09:00:00,82.51916666666668,39.783913,65.59000000000003,Week 1
2025-03-01 10:00:00,16.830833333333345,24.653671,11.029999999999987,Week 1
2025-03-01 11:00:00,14.070000000000007,23.854294,11.02000000000001,Week 1
2025-03-01 12:00:00,4.793333333333351,22.334389,56.43666666666669,Week 1
2025-03-01 13:00:00,23.402500000000003,39.92591,120.02000000000001,Week 1
2025-03-01 14:00:00,27.306666666666686,34.132027,120.08666666666667,Week 1
2025-03-01 15:00:00,129.9,36.62108,52.125000000000014,Week 1
2025-03-01 16:00:00,121.48583333333333,33.026222,-33.22166666666665,Week 1
2025-03-01 17:00:00,122.59583333333337,69.435425,68.74416666666667,Week 1
2025-03-01 18:00:00,120.06833333333333,77.84368,54.57500000000002,Week 1
2025-03-01 19:00:00,123.78916666666669,115.831,144.5525,Week 1
2025-03-01 20:00:00,119.92750000000001,93.699776,134.8175,Week 1
2025-03-01 21:00:00,119.24000000000001,88.84813,123.09750000000001,Week 1
2025-03-01 22:00:00,127.80416666666669,95.73386,120.72000000000001,Week 1
2025-03-01 23:00:00,120.7916666666667,90.814674,137.37916666666666,Week 1
2025-03-02 00:00:00,120.02000000000001,85.78956,145.08833333333337,Week 1
2025-03-02 01:00:00,120.02500000000002,88.683655,180.52083333333331,Week 1
2025-03-02 02:00:00,111.56500000000001,72.741974,135.7125,Week 1
2025-03-02 03:00:00,119.9366666666667,87.14246,221.3458333333333,Week 1
2025-03-02 04:00:00,120.51166666666667,95.39929,122.64250000000001,Week 1
2025-03-02 05:00:00,127.33166666666668,123.3948,247.3025,Week 1
2025-03-02 06:00:00,126.72833333333335,120.494865,129.64,Week 1
2025-03-02 07:00:00,121.945,118.04191,29.544166666666698,Week 1
2025-03-02 08:00:00,75.41083333333336,123.16605,85.51,Week 1
2025-03-02 09:00:00,105.65916666666665,108.537796,20.18333333333335,Week 1
2025-03-02 10:00:00,12.773333333333355,109.6726,11.100000000000037,Week 1
2025-03-02 11:00:00,11.080000000000027,100.60597,18.641666666666694,Week 1
2025-03-02 12:00:00,11.070000000000007,95.91358,29.210000000000008,Week 1
2025-03-02 13:00:00,11.080000000000027,94.71462,2.4399999999999693,Week 1
2025-03-02 14:00:00,11.080000000000027,90.32051,-20.32833333333329,Week 1
2025-03-02 15:00:00,11.246666666666684,97.244865,5.661666666666676,Week 1
2025-03-02 16:00:00,58.727500000000006,110.771515,11.083333333333343,Week 1
2025-03-02 17:00:00,125.28250000000001,126.3992,11.151666666666685,Week 1
2025-03-02 18:00:00,140.13750000000005,144.84421,120.09000000000002,Week 1
2025-03-02 19:00:00,140.1991666666667,150.65842,120.07000000000001,Week 1
2025-03-02 20:00:00,140.10333333333332,148.75578,112.40750000000001,Week 1
2025-03-02 21:00:00,125.06500000000001,142.52264,108.78500000000001,Week 1
2025-03-02 22:00:00,120.08000000000001,132.31715,67.73416666666668,Week 1
2025-03-02 23:00:00,120.08000000000001,133.53035,73.57666666666668,Week 1
2025-03-03 00:00:00,120.08000000000001,129.82732,69.88666666666668,Week 1
2025-03-03 01:00:00,120.08000000000001,128.10329,66.3441666666667,Week 1
2025-03-03 02:00:00,120.08000000000001,129.78595,64.98750000000001,Week 1
2025-03-03 03:00:00,120.08000000000001,136.28923,108.72500000000001,Week 1
2025-03-03 04:00:00,120.08000000000001,139.015,120.07000000000001,Week 1
2025-03-03 05:00:00,121.74583333333335,146.05766,120.14583333333331,Week 1
2025-03-03 06:00:00,125.97750000000002,154.52399,128.99083333333334,Week 1
2025-03-03 07:00:00,128.41333333333333,155.47015,120.08500000000001,Week 1
2025-03-03 08:00:00,138.42083333333335,148.21573,44.26250000000002,Week 1
2025-03-03 09:00:00,120.08000000000001,136.38783,21.31833333333337,Week 1
2025-03-03 10:00:00,120.08000000000001,124.08966,15.183333333333351,Week 1
2025-03-03 11:00:00,120.08000000000001,113.62961,14.81416666666668,Week 1
2025-03-03 12:00:00,137.3625,109.79226,11.098333333333358,Week 1
2025-03-03 13:00:00,131.26583333333335,108.44243,7.826666666666682,Week 1
2025-03-03 14:00:00,129.51666666666668,105.516914,11.95416666666668,Week 1
2025-03-03 15:00:00,140.07833333333335,113.286415,21.776666666666685,Week 1
2025-03-03 16:00:00,140.26583333333335,125.40379,78.53833333333336,Week 1
2025-03-03 17:00:00,142.22666666666666,141.06334,148.44166666666666,Week 1
2025-03-03 18:00:00,139.92333333333335,150.51506,164.68083333333337,Week 1
2025-03-03 19:00:00,136.03000000000003,149.12485,126.42500000000001,Week 1
2025-03-03 20:00:00,131.18666666666667,149.08711,120.22,Week 1
2025-03-03 21:00:00,131.42416666666668,145.23846,134.0266666666667,Week 1
2025-03-03 22:00:00,140.17916666666667,141.56839,120.26583333333333,Week 1
2025-03-03 23:00:00,140.20333333333338,145.80884,120.095,Week 1
