ds,y,KAN,Naive,week
2025-03-01 00:00:00,122.85749999999999,132.16173,119.32,Week 1
2025-03-01 01:00:00,139.47083333333333,124.43825,72.9375,Week 1
2025-03-01 02:00:00,122.21333333333331,112.55631,45.27333333333334,Week 1
2025-03-01 03:00:00,128.29416666666663,117.43807,8.41000000000001,Week 1
2025-03-01 04:00:00,127.7708333333333,109.38748,7.5625,Week 1
2025-03-01 05:00:00,137.09666666666664,133.3671,8.954166666666666,Week 1
2025-03-01 06:00:00,148.11,111.841446,6.234166666666681,Week 1
2025-03-01 07:00:00,50.37833333333333,78.81619,-22.03916666666666,Week 1
2025-03-01 08:00:00,17.05083333333333,45.567673,-26.07166666666666,Week 1
2025-03-01 09:00:00,9.45416666666668,45.77825,-30.983333333333306,Week 1
2025-03-01 10:00:00,1.3941666666666777,29.943832,-32.347499999999954,Week 1
2025-03-01 11:00:00,-17.29416666666667,37.197704,-33.50499999999998,Week 1
2025-03-01 12:00:00,-16.931666666666644,16.226837,-32.74083333333333,Week 1
2025-03-01 13:00:00,3.782500000000013,27.336899,-19.146666666666647,Week 1
2025-03-01 14:00:00,-0.19333333333331382,34.82536,58.276666666666664,Week 1
2025-03-01 15:00:00,36.18583333333334,25.845036,147.13666666666666,Week 1
2025-03-01 16:00:00,32.41333333333334,61.961212,165.44166666666666,Week 1
2025-03-01 17:00:00,50.90250000000001,93.64161,206.64999999999998,Week 1
2025-03-01 18:00:00,25.973333333333343,127.36907,145.66166666666663,Week 1
2025-03-01 19:00:00,113.69166666666666,130.87268,164.71999999999997,Week 1
2025-03-01 20:00:00,105.94583333333333,137.64165,168.16499999999996,Week 1
2025-03-01 21:00:00,110.62916666666666,113.36583,128.23916666666665,Week 1
2025-03-01 22:00:00,122.94749999999999,106.62535,117.0033333333333,Week 1
2025-03-01 23:00:00,112.9433333333333,108.589325,135.24666666666664,Week 1
2025-03-02 00:00:00,86.30833333333332,95.43716,143.6275,Week 1
2025-03-02 01:00:00,73.08749999999999,95.07647,193.68833333333336,Week 1
2025-03-02 02:00:00,74.22166666666668,92.12628,143.3358333333333,Week 1
2025-03-02 03:00:00,69.4225,79.5464,126.69,Week 1
2025-03-02 04:00:00,64.91083333333334,82.81449,109.2525,Week 1
2025-03-02 05:00:00,76.59416666666667,98.8102,257.23833333333323,Week 1
2025-03-02 06:00:00,55.967500000000015,84.0461,133.1966666666667,Week 1
2025-03-02 07:00:00,13.235000000000007,37.714382,19.166666666666686,Week 1
2025-03-02 08:00:00,10.287500000000009,13.615955,-15.67749999999998,Week 1
2025-03-02 09:00:00,17.804166666666674,-3.7344208,-22.95833333333333,Week 1
2025-03-02 10:00:00,-18.25749999999998,-22.138336,-29.75999999999999,Week 1
