ds,y,KAN,Naive,week
2025-03-07 06:00:00,84.21249999999999,61.87761,128.0641666666667,Week 1
2025-03-07 07:00:00,12.338333333333324,17.494415,27.02833333333333,Week 1
2025-03-07 08:00:00,15.278333333333336,-15.959572,-23.340000000000018,Week 1
2025-03-07 09:00:00,-16.22916666666667,-18.207039,-26.83083333333336,Week 1
2025-03-07 10:00:00,-24.41250000000001,-9.167046,-30.245000000000005,Week 1
2025-03-07 11:00:00,-24.711666666666645,-4.119751,-32.81,Week 1
2025-03-07 12:00:00,-26.54250000000006,-7.2684326,-31.440833333333316,Week 1
2025-03-07 13:00:00,-25.968333333333348,10.17659,-28.4075,Week 1
2025-03-07 14:00:00,-26.070000000000007,15.869919,-26.679166666666646,Week 1
2025-03-07 15:00:00,6.0874999999999915,29.004425,25.057500000000005,Week 1
2025-03-07 16:00:00,42.63666666666666,61.34175,58.88333333333334,Week 1
2025-03-07 17:00:00,98.38916666666668,108.92844,144.88083333333333,Week 1
2025-03-07 18:00:00,130.6575,127.64785,225.86583333333328,Week 1
2025-03-07 19:00:00,115.9175,119.721504,165.75916666666666,Week 1
2025-03-07 20:00:00,100.3875,99.87015,150.0533333333333,Week 1
2025-03-07 21:00:00,85.94166666666666,80.329796,133.57666666666668,Week 1
2025-03-07 22:00:00,81.9325,82.86685,129.83833333333334,Week 1
2025-03-07 23:00:00,80.58166666666666,80.11192,119.125,Week 1
2025-03-08 00:00:00,68.48333333333333,74.21574,115.04583333333332,Week 2
2025-03-08 01:00:00,67.08166666666666,67.597244,126.56666666666666,Week 2
2025-03-08 02:00:00,62.74166666666667,64.18678,109.51333333333334,Week 2
2025-03-08 03:00:00,55.77333333333334,69.573944,111.9025,Week 2
2025-03-08 04:00:00,50.390833333333326,78.05829,116.58166666666666,Week 2
2025-03-08 05:00:00,34.35166666666666,76.01001,128.17416666666665,Week 2
2025-03-08 06:00:00,34.06083333333333,60.39582,123.05166666666665,Week 2
2025-03-08 07:00:00,-21.929999999999993,32.56384,-14.720000000000027,Week 2
2025-03-08 08:00:00,-25.4375,11.285202,-27.337499999999963,Week 2
2025-03-08 09:00:00,-20.394166666666635,20.456459,-30.11666666666669,Week 2
2025-03-08 10:00:00,12.050833333333344,12.054169,-32.416666666666686,Week 2
2025-03-08 11:00:00,-1.5783333333333474,11.904694,-34.11083333333333,Week 2
2025-03-08 12:00:00,-0.24916666666669585,15.321762,-34.127500000000026,Week 2
2025-03-08 13:00:00,0.6766666666666765,34.503185,-30.724999999999994,Week 2
2025-03-08 14:00:00,-15.711666666666645,46.749382,-26.569166666666618,Week 2
2025-03-08 15:00:00,-8.054999999999993,53.90792,-17.6133333333333,Week 2
2025-03-08 16:00:00,2.3566666666666833,70.112946,11.405000000000015,Week 2
2025-03-08 17:00:00,73.49833333333333,125.73547,109.35833333333332,Week 2
2025-03-08 18:00:00,92.42583333333334,153.95541,163.66916666666665,Week 2
2025-03-08 19:00:00,88.75999999999999,125.04999,134.46166666666667,Week 2
2025-03-08 20:00:00,83.11,99.58089,116.17416666666666,Week 2
2025-03-08 21:00:00,80.09166666666667,103.81234,112.20666666666666,Week 2
2025-03-08 22:00:00,79.65083333333334,92.57669,123.39583333333331,Week 2
2025-03-08 23:00:00,75.96083333333333,93.05097,121.78583333333334,Week 2
2025-03-09 00:00:00,75.87666666666667,90.65851,95.10166666666667,Week 2
2025-03-09 01:00:00,80.34666666666666,80.89188,81.395,Week 2
2025-03-09 02:00:00,75.62833333333333,76.302444,81.54166666666667,Week 2
2025-03-09 03:00:00,77.2475,80.27469,76.13833333333334,Week 2
2025-03-09 04:00:00,67.9475,79.24641,70.94916666666668,Week 2
2025-03-09 05:00:00,60.33583333333334,98.90385,80.22333333333333,Week 2
2025-03-09 06:00:00,49.715,76.6473,57.991666666666674,Week 2
2025-03-09 07:00:00,-3.169166666666655,42.725063,-32.392499999999984,Week 2
2025-03-09 08:00:00,7.48583333333336,21.199585,-32.920000000000016,Week 2
2025-03-09 09:00:00,-18.577500000000015,25.958397,-31.519166666666663,Week 2
2025-03-09 10:00:00,-21.93666666666668,40.440838,-30.69416666666666,Week 2
2025-03-09 11:00:00,-3.8641666666666623,38.825516,-30.001666666666665,Week 2
2025-03-09 12:00:00,8.306666666666672,31.177452,-27.77333333333334,Week 2
2025-03-09 13:00:00,8.637500000000003,38.113525,-26.43500000000003,Week 2
2025-03-09 14:00:00,54.98833333333334,49.45622,-26.02499999999999,Week 2
2025-03-09 15:00:00,56.23416666666665,56.379555,26.170833333333334,Week 2
2025-03-09 16:00:00,29.735833333333332,73.8894,39.145,Week 2
2025-03-09 17:00:00,72.30833333333334,127.2756,93.9775,Week 2
2025-03-09 18:00:00,96.66999999999999,155.97205,109.05583333333334,Week 2
2025-03-09 19:00:00,68.49666666666667,136.9758,87.68416666666667,Week 2
2025-03-09 20:00:00,66.86916666666667,106.84885,63.018333333333345,Week 2
2025-03-09 21:00:00,82.73083333333334,101.57391,55.134166666666665,Week 2
2025-03-09 22:00:00,83.62583333333333,89.14904,49.7475,Week 2
2025-03-09 23:00:00,79.24666666666667,94.11929,54.08416666666667,Week 2
2025-03-10 00:00:00,82.3875,85.39703,61.92416666666668,Week 2
2025-03-10 01:00:00,73.73416666666667,77.25478,64.78916666666667,Week 2
2025-03-10 02:00:00,75.10916666666667,71.24031,64.31583333333333,Week 2
2025-03-10 03:00:00,67.93666666666667,69.600204,65.00916666666667,Week 2
2025-03-10 04:00:00,66.00666666666666,75.48696,64.31083333333333,Week 2
2025-03-10 05:00:00,79.02,88.657005,91.38583333333334,Week 2
2025-03-10 06:00:00,88.23833333333333,78.07854,114.40416666666664,Week 2
2025-03-10 07:00:00,85.49833333333333,26.244633,49.41333333333332,Week 2
2025-03-10 08:00:00,76.41583333333334,23.792809,47.29916666666667,Week 2
2025-03-10 09:00:00,79.44666666666667,15.745636,70.7925,Week 2
2025-03-10 10:00:00,79.57916666666667,20.762901,84.53750000000001,Week 2
2025-03-10 11:00:00,72.7525,21.065605,21.409166666666664,Week 2
2025-03-10 12:00:00,58.83833333333334,25.960625,7.74166666666666,Week 2
2025-03-10 13:00:00,68.62666666666667,18.674911,33.16833333333333,Week 2
2025-03-10 14:00:00,73.48416666666667,37.68203,49.20416666666667,Week 2
2025-03-10 15:00:00,72.61166666666666,33.66692,12.900000000000006,Week 2
2025-03-10 16:00:00,80.7375,77.2026,-30.870000000000005,Week 2
2025-03-10 17:00:00,85.07166666666667,99.1192,71.95166666666667,Week 2
2025-03-10 18:00:00,91.63166666666666,141.12234,181.97250000000003,Week 2
2025-03-10 19:00:00,81.44916666666667,118.04119,127.34583333333332,Week 2
2025-03-10 20:00:00,71.84833333333334,94.55681,99.56166666666668,Week 2
2025-03-10 21:00:00,75.43416666666667,85.236664,77.75583333333334,Week 2
2025-03-10 22:00:00,76.41,83.41321,83.69416666666667,Week 2
2025-03-10 23:00:00,72.81416666666667,91.12924,88.7675,Week 2
2025-03-11 00:00:00,74.10833333333333,79.03734,89.62416666666667,Week 2
2025-03-11 01:00:00,71.10416666666667,64.80894,84.22166666666666,Week 2
2025-03-11 02:00:00,76.66833333333334,66.97074,80.27499999999999,Week 2
2025-03-11 03:00:00,73.8425,72.18882,80.2525,Week 2
2025-03-11 04:00:00,87.34333333333332,77.42023,86.105,Week 2
2025-03-11 05:00:00,110.75416666666666,94.9959,123.92916666666667,Week 2
2025-03-11 06:00:00,126.82833333333332,75.71535,145.20916666666668,Week 2
2025-03-11 07:00:00,93.85,41.51362,9.899999999999991,Week 2
2025-03-11 08:00:00,63.896666666666675,25.135136,-11.404166666666654,Week 2
2025-03-11 09:00:00,20.263333333333335,26.69191,14.237499999999997,Week 2
2025-03-11 10:00:00,-21.850833333333327,37.451057,28.942499999999995,Week 2
2025-03-11 11:00:00,-13.084999999999994,22.265816,31.14333333333333,Week 2
2025-03-11 12:00:00,10.124166666666667,24.063774,29.84083333333332,Week 2
2025-03-11 13:00:00,63.45750000000001,26.313618,62.61166666666666,Week 2
2025-03-11 14:00:00,85.16333333333334,44.195408,37.57000000000001,Week 2
2025-03-11 15:00:00,74.79,42.523495,42.07166666666666,Week 2
2025-03-11 16:00:00,79.17583333333333,64.921425,74.83166666666666,Week 2
2025-03-11 17:00:00,106.41083333333334,119.324005,162.08333333333331,Week 2
2025-03-11 18:00:00,144.24083333333328,152.38347,229.7641666666667,Week 2
2025-03-11 19:00:00,93.705,139.6712,199.52166666666668,Week 2
2025-03-11 20:00:00,82.6575,112.05086,131.83,Week 2
2025-03-11 21:00:00,83.33,108.418,104.44916666666666,Week 2
2025-03-11 22:00:00,82.40833333333333,93.69652,94.63,Week 2
2025-03-11 23:00:00,83.04916666666666,91.55999,99.925,Week 2
2025-03-12 00:00:00,78.0325,86.240036,94.51833333333332,Week 2
2025-03-12 01:00:00,72.47666666666667,81.17413,92.39666666666666,Week 2
2025-03-12 02:00:00,77.89583333333333,72.46084,86.0475,Week 2
2025-03-12 03:00:00,78.46166666666666,76.864265,81.54833333333333,Week 2
2025-03-12 04:00:00,76.92000000000002,77.21423,78.02,Week 2
2025-03-12 05:00:00,85.4875,91.23466,101.56416666666668,Week 2
2025-03-12 06:00:00,109.23,78.336525,126.51083333333335,Week 2
2025-03-12 07:00:00,64.35000000000001,37.5909,42.139166666666675,Week 2
2025-03-12 08:00:00,53.035000000000004,20.16977,34.03333333333333,Week 2
2025-03-12 09:00:00,45.5725,10.203964,11.58750000000002,Week 2
2025-03-12 10:00:00,15.173333333333332,5.2650375,-17.752499999999998,Week 2
2025-03-12 11:00:00,28.887500000000003,3.593361,-27.0475,Week 2
2025-03-12 12:00:00,-16.167500000000018,4.7207336,-1.5349999999999824,Week 2
2025-03-12 13:00:00,39.07666666666666,6.6154633,14.255833333333342,Week 2
2025-03-12 14:00:00,38.240833333333335,22.747993,42.766666666666666,Week 2
2025-03-12 15:00:00,86.17166666666667,27.547508,58.06,Week 2
2025-03-12 16:00:00,103.37916666666666,54.48285,81.84,Week 2
2025-03-12 17:00:00,190.2883333333333,110.98578,169.52916666666664,Week 2
2025-03-12 18:00:00,250.4833333333333,142.26097,290.23833333333334,Week 2
2025-03-12 19:00:00,155.70666666666668,121.590675,176.54416666666668,Week 2
2025-03-12 20:00:00,122.50666666666666,98.02043,158.17916666666667,Week 2
2025-03-12 21:00:00,106.21916666666668,95.67253,157.20166666666665,Week 2
2025-03-12 22:00:00,104.1175,94.65313,151.0475,Week 2
2025-03-12 23:00:00,99.33333333333331,96.557045,111.91416666666666,Week 2
2025-03-13 00:00:00,90.0725,80.985695,95.9175,Week 2
2025-03-13 01:00:00,86.29583333333333,78.516785,88.15083333333332,Week 2
2025-03-13 02:00:00,85.925,79.27941,81.91416666666667,Week 2
2025-03-13 03:00:00,88.49583333333334,67.97525,77.99833333333333,Week 2
2025-03-13 04:00:00,94.0825,83.169235,84.10166666666667,Week 2
2025-03-13 05:00:00,115.08833333333332,91.9637,117.40500000000002,Week 2
2025-03-13 06:00:00,102.83083333333332,80.1357,134.7525,Week 2
2025-03-13 07:00:00,33.78249999999999,36.63639,13.13666666666667,Week 2
2025-03-13 08:00:00,30.40999999999999,6.9279633,0.235833333333332,Week 2
2025-03-13 09:00:00,-13.862500000000011,7.4133377,11.827500000000015,Week 2
2025-03-13 10:00:00,-25.66916666666667,2.3895264,-11.818333333333314,Week 2
2025-03-13 11:00:00,-27.514999999999972,4.108902,-25.11750000000002,Week 2
2025-03-13 12:00:00,-25.78416666666665,-8.34613,-27.414166666666688,Week 2
2025-03-13 13:00:00,-25.405833333333334,0.44963074,-25.213333333333324,Week 2
2025-03-13 14:00:00,43.45249999999999,8.321869,33.31166666666667,Week 2
2025-03-13 15:00:00,84.72916666666667,28.97726,61.92750000000001,Week 2
2025-03-13 16:00:00,116.88833333333334,52.902325,54.748333333333335,Week 2
2025-03-13 17:00:00,1309.190833333333,104.22684,95.28083333333332,Week 2
2025-03-13 18:00:00,241.4033333333333,141.17978,208.08749999999998,Week 2
2025-03-13 19:00:00,208.08166666666665,131.61572,168.92166666666662,Week 2
2025-03-13 20:00:00,139.27583333333334,107.32738,101.1175,Week 2
2025-03-13 21:00:00,139.4358333333333,95.749275,96.16083333333334,Week 2
2025-03-13 22:00:00,132.745,95.21171,106.84916666666668,Week 2
2025-03-13 23:00:00,140.73333333333332,100.738,89.90333333333332,Week 2
2025-03-14 00:00:00,118.43666666666668,86.48105,84.155,Week 2
2025-03-14 01:00:00,102.58916666666666,95.22807,80.51333333333334,Week 2
2025-03-14 02:00:00,103.805,77.17112,66.69166666666666,Week 2
2025-03-14 03:00:00,116.73166666666668,75.09176,62.69833333333334,Week 2
2025-03-14 04:00:00,120.65333333333332,81.5483,68.26166666666667,Week 2
2025-03-14 05:00:00,143.0625,92.70793,80.045,Week 2
2025-03-14 06:00:00,180.745,75.2743,84.21249999999999,Week 2
2025-03-14 07:00:00,32.98416666666666,27.772724,12.338333333333324,Week 2
2025-03-14 08:00:00,19.486666666666665,9.265022,15.278333333333336,Week 2
2025-03-14 09:00:00,9.434166666666684,3.8096619,-16.22916666666667,Week 2
2025-03-14 10:00:00,-20.932500000000005,-1.0488892,-24.41250000000001,Week 2
2025-03-14 11:00:00,-25.816666666666677,-6.8285294,-24.711666666666645,Week 2
2025-03-14 12:00:00,-16.465833333333336,-25.591919,-26.54250000000006,Week 2
2025-03-14 13:00:00,14.144166666666663,-3.6024628,-25.968333333333348,Week 2
2025-03-14 14:00:00,-3.526666666666671,2.424034,-26.070000000000007,Week 2
2025-03-14 15:00:00,40.36916666666666,20.908379,6.0874999999999915,Week 2
2025-03-14 16:00:00,48.37583333333333,57.39588,42.63666666666666,Week 2
2025-03-14 17:00:00,170.2575,105.32096,98.38916666666668,Week 2
