ds,y,SARIMAX,week
2025-03-01 00:00:00,121.69583333333334,121.02067763799066,Week 1
2025-03-01 01:00:00,134.18916666666672,119.49250995731731,Week 1
2025-03-01 02:00:00,120.74750000000002,112.22521056987557,Week 1
2025-03-01 03:00:00,123.31583333333333,112.12058058726578,Week 1
2025-03-01 04:00:00,123.52416666666667,107.23227741677017,Week 1
2025-03-01 05:00:00,134.32583333333338,109.30404486080117,Week 1
2025-03-01 06:00:00,145.15250000000003,111.03485081592835,Week 1
2025-03-01 07:00:00,83.37333333333335,96.01118882445829,Week 1
2025-03-01 08:00:00,92.01000000000002,86.89472448041855,Week 1
2025-03-01 09:00:00,82.51916666666668,79.8434449037004,Week 1
2025-03-01 10:00:00,16.830833333333345,81.74366598547343,Week 1
2025-03-01 11:00:00,14.070000000000007,75.22912353975204,Week 1
2025-03-01 12:00:00,4.793333333333351,73.73920859216105,Week 1
2025-03-01 13:00:00,23.402500000000003,71.74658678484434,Week 1
2025-03-01 14:00:00,27.306666666666686,72.17941406571245,Week 1
2025-03-01 15:00:00,129.9,79.73376384554504,Week 1
2025-03-01 16:00:00,121.48583333333333,92.39039354625817,Week 1
2025-03-01 17:00:00,122.59583333333337,105.73148066638177,Week 1
2025-03-01 18:00:00,120.06833333333333,117.74033113019945,Week 1
2025-03-01 19:00:00,123.78916666666669,119.65868538191673,Week 1
2025-03-01 20:00:00,119.92750000000001,103.8528995162515,Week 1
2025-03-01 21:00:00,119.24000000000001,102.46537178245127,Week 1
2025-03-01 22:00:00,127.80416666666669,102.74767062738435,Week 1
2025-03-01 23:00:00,120.7916666666667,102.09806036044604,Week 1
2025-03-02 00:00:00,120.02000000000001,101.10342443518628,Week 1
2025-03-02 01:00:00,120.02500000000002,100.62256101943039,Week 1
2025-03-02 02:00:00,111.56500000000001,94.89907444879516,Week 1
2025-03-02 03:00:00,119.9366666666667,98.7512881221127,Week 1
2025-03-02 04:00:00,120.51166666666667,105.44461785041625,Week 1
2025-03-02 05:00:00,127.33166666666668,119.18686791169401,Week 1
2025-03-02 06:00:00,126.72833333333335,120.9790324315431,Week 1
2025-03-02 07:00:00,121.945,120.59152864921457,Week 1
2025-03-02 08:00:00,75.41083333333336,118.77821523597126,Week 1
2025-03-02 09:00:00,105.65916666666665,108.74167720395671,Week 1
2025-03-02 10:00:00,12.773333333333355,108.27939711450097,Week 1
2025-03-02 11:00:00,11.080000000000027,101.33717088762897,Week 1
2025-03-02 12:00:00,11.070000000000007,99.25302906875417,Week 1
2025-03-02 13:00:00,11.080000000000027,100.74751338169764,Week 1
2025-03-02 14:00:00,11.080000000000027,102.00468750216028,Week 1
2025-03-02 15:00:00,11.246666666666684,104.90202350181714,Week 1
2025-03-02 16:00:00,58.727500000000006,118.7266942013685,Week 1
2025-03-02 17:00:00,125.28250000000001,135.03633036854742,Week 1
2025-03-02 18:00:00,140.13750000000005,150.03757376548418,Week 1
2025-03-02 19:00:00,140.1991666666667,151.6810615886564,Week 1
2025-03-02 20:00:00,140.10333333333332,140.69341966698258,Week 1
2025-03-02 21:00:00,125.06500000000001,136.8210720770986,Week 1
2025-03-02 22:00:00,120.08000000000001,132.2855417784869,Week 1
2025-03-02 23:00:00,120.08000000000001,134.0133496548442,Week 1
2025-03-03 00:00:00,120.08000000000001,128.23207743115665,Week 1
2025-03-03 01:00:00,120.08000000000001,128.43871541997547,Week 1
2025-03-03 02:00:00,120.08000000000001,127.23596418209954,Week 1
2025-03-03 03:00:00,120.08000000000001,131.14654472931784,Week 1
2025-03-03 04:00:00,120.08000000000001,130.71096331819035,Week 1
2025-03-03 05:00:00,121.74583333333335,144.4104887024127,Week 1
2025-03-03 06:00:00,125.97750000000002,149.9713433351305,Week 1
2025-03-03 07:00:00,128.41333333333333,144.40923923575755,Week 1
2025-03-03 08:00:00,138.42083333333335,140.5195535494612,Week 1
2025-03-03 09:00:00,120.08000000000001,123.71175836570394,Week 1
2025-03-03 10:00:00,120.08000000000001,115.59563221388574,Week 1
2025-03-03 11:00:00,120.08000000000001,107.89282835859301,Week 1
2025-03-03 12:00:00,137.3625,106.93500907679713,Week 1
2025-03-03 13:00:00,131.26583333333335,106.85387505854513,Week 1
2025-03-03 14:00:00,129.51666666666668,107.72854240030932,Week 1
2025-03-03 15:00:00,140.07833333333335,112.19215462093634,Week 1
2025-03-03 16:00:00,140.26583333333335,121.98853527261618,Week 1
2025-03-03 17:00:00,142.22666666666666,135.56206432531798,Week 1
2025-03-03 18:00:00,139.92333333333335,153.03323349071115,Week 1
2025-03-03 19:00:00,136.03000000000003,151.6290150587866,Week 1
2025-03-03 20:00:00,131.18666666666667,141.5822902882274,Week 1
2025-03-03 21:00:00,131.42416666666668,138.9552308236607,Week 1
2025-03-03 22:00:00,140.17916666666667,134.82628041402378,Week 1
2025-03-03 23:00:00,140.20333333333338,140.52044485300914,Week 1
2025-03-04 00:00:00,140.12,137.2587714947111,Week 1
2025-03-04 01:00:00,140.10333333333332,135.70400248272517,Week 1
2025-03-04 02:00:00,140.12,134.06009429351445,Week 1
2025-03-04 03:00:00,140.13000000000002,138.00727772998937,Week 1
2025-03-04 04:00:00,140.115,137.27055711578336,Week 1
2025-03-04 05:00:00,133.3891666666667,149.45579254849983,Week 1
2025-03-04 06:00:00,137.14916666666667,155.40383427558913,Week 1
2025-03-04 07:00:00,83.53583333333336,135.26873352209586,Week 1
2025-03-04 08:00:00,49.97250000000001,121.41960763724751,Week 1
2025-03-04 09:00:00,2.40000000000002,96.77816652917271,Week 1
2025-03-04 10:00:00,0.5391666666666595,87.21130805284106,Week 1
2025-03-04 11:00:00,24.695833333333354,80.81255168218836,Week 1
2025-03-04 12:00:00,61.043333333333344,80.94914520157116,Week 1
2025-03-04 13:00:00,56.58833333333334,80.03560196758353,Week 1
2025-03-04 14:00:00,55.547500000000014,81.66627908226404,Week 1
2025-03-04 15:00:00,69.18083333333334,86.62888327291299,Week 1
2025-03-04 16:00:00,128.115,101.20628011814449,Week 1
2025-03-04 17:00:00,155.4041666666667,116.33820095423457,Week 1
2025-03-04 18:00:00,169.1616666666667,135.745871532676,Week 1
2025-03-04 19:00:00,157.40583333333336,134.77831945361365,Week 1
2025-03-04 20:00:00,126.20333333333333,115.48184850845198,Week 1
2025-03-04 21:00:00,111.00333333333333,107.18677167990401,Week 1
2025-03-04 22:00:00,110.72833333333335,97.69136169748474,Week 1
2025-03-04 23:00:00,113.71250000000002,97.49458753728487,Week 1
2025-03-05 00:00:00,103.38500000000002,93.31960669140445,Week 1
2025-03-05 01:00:00,109.1966666666667,94.08597230145286,Week 1
2025-03-05 02:00:00,108.92666666666668,94.7443186427127,Week 1
2025-03-05 03:00:00,115.56666666666668,98.99688019309444,Week 1
