Week,Start,End,MAE,rMAE,RMSE,SMAPE,MBE
Week 1,2025-03-01,2025-03-07,32.28023135267152,0.7325740278049628,44.503255698932136,0.4355222518540603,19.843009251376838
Week 2,2025-03-08,2025-03-14,27.53150001225925,0.7141570053506238,34.77945636597415,0.2686372447388519,-22.554534055274853
Week 3,2025-03-15,2025-03-21,20.023560863653103,0.6163705253281021,26.571278264029054,0.2670707806463935,9.798997484347638
Week 4,2025-03-22,2025-03-28,19.051689118240308,0.5976867502384005,25.95405932515456,0.2508279036032048,2.5354182973077704
