,LSTM (Week 1),Naive (Week 1),LSTM (Week 2),Naive (Week 2),LSTM (Week 3),Naive (Week 3),LSTM (Week 4),Naive (Week 4)
MAE,35.91674419857207,37.33976190476191,27.74480911345709,46.1512003968254,68.10583367816987,85.80529761904762,17.3978617235214,81.38392361111111
rMAE,0.9618900166043007,1.0,0.6011719928170183,1.0,0.7937252776692344,1.0,0.2137751653097507,1.0
RMSE,48.24890140929225,46.60868886106842,100.36501258997595,115.93713324664964,294.3186487040866,359.04777704621296,26.792759729648438,330.0790101833251
MBE,-27.48399097594004,0.21389880952381055,-1.0517853028433681,-17.78463293650794,-32.68759270350139,-41.69196428571428,-6.902652299063548,40.28596726190476
SMAPE,0.7443972839011936,0.7410257794476134,0.41284790592138065,0.7162931697084127,0.5180627055479166,0.6467397830510528,0.2275217208083423,0.6325206173822652
R2,0.29821173975793314,0.3451150460902467,0.27396288443382466,0.031188576995872408,0.27170239197805435,-0.08387152376739415,0.5455712217525901,-67.9710351948646
