Week,Start,End,MAE,rMAE,RMSE,SMAPE,MBE
Week 1,2025-03-01,2025-03-07,35.13576869514541,0.6024350922678716,40.95998723845445,0.8978921474753121,28.638316566619658
Week 2,2025-03-08,2025-03-14,32.61319360241745,0.4944899025965348,42.193385174666254,0.5161253156976553,-22.500262433680746
Week 3,2025-03-15,2025-03-21,33.70469449330109,0.721155358156937,41.41512261208191,0.71815069814325,-27.671636613778272
Week 4,2025-03-22,2025-03-28,22.660846794203987,0.5189476834991441,28.367327071811015,0.48539298065365105,16.859486000613508
