ds,y,LSTM,Naive,week,KAN,SARIMAX,state
2025-03-01 00:00:00,118.8175,90.58265,81.72833333333334,Week 1,94.33921,118.09689449384732,NSW
2025-03-01 01:00:00,133.89583333333334,88.38892,72.65833333333333,Week 1,94.1429,112.70150765989442,NSW
2025-03-01 02:00:00,117.47333333333334,86.95788,60.09583333333333,Week 1,93.51613,107.09609379793882,NSW
2025-03-01 03:00:00,121.25166666666668,88.84816,57.75249999999999,Week 1,91.33111,107.20098608229227,NSW
2025-03-01 04:00:00,127.1175,87.489006,58.9725,Week 1,96.2001,103.42123838821422,NSW
2025-03-01 05:00:00,140.60666666666663,87.52888,58.28333333333333,Week 1,93.23068,109.82356883778904,NSW
2025-03-01 06:00:00,135.57166666666666,83.348114,37.78083333333332,Week 1,80.48663,90.28344702992126,NSW
2025-03-01 07:00:00,25.87916666666667,52.485764,-23.379999999999967,Week 1,58.045105,22.2899405874294,NSW
2025-03-01 08:00:00,16.62666666666665,33.015575,-27.936666666666724,Week 1,40.32402,0.2724401511816978,NSW
2025-03-01 09:00:00,9.56333333333336,25.113354,-27.634999999999977,Week 1,37.254818,-15.547740788787776,NSW
2025-03-01 10:00:00,1.316666666666677,23.728813,-36.8625,Week 1,23.554138,-8.001095202964905,NSW
2025-03-01 11:00:00,-18.076666666666668,18.941605,-37.46416666666666,Week 1,33.88803,-16.348655815520004,NSW
2025-03-01 12:00:00,-18.59916666666668,18.287872,-34.69916666666667,Week 1,38.507473,-17.214144752670038,NSW
2025-03-01 13:00:00,7.527500000000003,20.020348,-23.609166666666653,Week 1,41.647224,8.817772979433826,NSW
2025-03-01 14:00:00,58.295,26.165028,10.871666666666655,Week 1,52.9826,38.04419500574762,NSW
2025-03-01 15:00:00,46.995000000000005,38.308994,-21.97833333333334,Week 1,63.51335,58.823591537731616,NSW
2025-03-01 16:00:00,44.35833333333333,53.079678,-11.643333333333343,Week 1,72.759766,84.35914942228858,NSW
2025-03-01 17:00:00,141.21583333333334,81.41462,49.12416666666667,Week 1,99.54568,159.12584006868946,NSW
2025-03-01 18:00:00,214.21666666666664,102.21881,119.57666666666668,Week 1,119.39206,255.05702693319407,NSW
2025-03-01 19:00:00,138.57166666666666,93.459465,105.84250000000002,Week 1,124.215485,175.63760543935888,NSW
2025-03-01 20:00:00,123.42083333333332,83.97738,96.08,Week 1,109.04064,131.98622592537868,NSW
2025-03-01 21:00:00,122.26333333333334,82.24944,99.3875,Week 1,103.75039,128.2525795243469,NSW
2025-03-01 22:00:00,134.28083333333333,83.10816,91.54,Week 1,88.222404,123.20848402292194,NSW
2025-03-01 23:00:00,126.23999999999998,80.63751,80.215,Week 1,88.69707,115.79196248985716,NSW
2025-03-02 00:00:00,97.60083333333334,76.05791,77.09,Week 1,93.0487,102.80013676218474,NSW
2025-03-02 01:00:00,82.12666666666667,72.801865,80.005,Week 1,85.66703,96.3520882819589,NSW
2025-03-02 02:00:00,83.17416666666666,70.8985,80.0025,Week 1,83.385086,92.71982565168564,NSW
2025-03-02 03:00:00,78.80833333333334,71.45919,80.6425,Week 1,85.85378,91.48805135967608,NSW
2025-03-02 04:00:00,74.98083333333334,67.79289,84.7825,Week 1,80.44318,85.09415969183999,NSW
2025-03-02 05:00:00,86.60166666666667,70.28556,80.355,Week 1,87.54982,92.83344055934798,NSW
2025-03-02 06:00:00,62.46333333333333,64.94704,59.9875,Week 1,69.20105,73.93467732870079,NSW
2025-03-02 07:00:00,14.37166666666667,31.537899,-16.786666666666648,Week 1,41.18705,-10.07999645871385,NSW
2025-03-02 08:00:00,11.085000000000008,15.516899,-28.2825,Week 1,26.780586,-29.84331981157068,NSW
2025-03-02 09:00:00,19.26666666666668,15.09639,-32.7316666666667,Week 1,20.745338,-21.60543922301791,NSW
2025-03-02 10:00:00,0.0549999999999926,14.801529,-35.70083333333332,Week 1,27.035046,-13.944246379815354,NSW
2025-03-02 11:00:00,-5.87166666666667,12.082298,-33.157499999999985,Week 1,30.201622,-15.396164857721004,NSW
2025-03-02 12:00:00,-9.56416666666668,4.7232666,-32.154166666666654,Week 1,34.153965,-34.24681125476491,NSW
2025-03-02 13:00:00,-29.231666666666683,1.4760666,-32.16416666666669,Week 1,23.89117,-30.872120337839817,NSW
2025-03-02 14:00:00,14.28583333333333,11.947708,20.189166666666665,Week 1,28.964108,9.514718859774687,NSW
2025-03-02 15:00:00,32.45500000000001,25.482937,54.81583333333333,Week 1,52.69746,22.14011166727807,NSW
2025-03-02 16:00:00,41.5925,33.144394,84.38250000000001,Week 1,54.82495,21.13998153910663,NSW
2025-03-02 17:00:00,93.5625,50.420013,103.76333333333334,Week 1,78.07318,74.61977772355641,NSW
2025-03-02 18:00:00,90.24,64.47421,105.75416666666666,Week 1,105.255646,106.65542505862793,NSW
2025-03-02 19:00:00,65.11583333333333,56.646652,86.54416666666667,Week 1,101.1101,79.37671203718483,NSW
2025-03-02 20:00:00,56.3475,47.482014,81.23333333333333,Week 1,82.90662,58.791361592041184,NSW
2025-03-02 21:00:00,50.615,40.35207,76.97583333333334,Week 1,69.46243,48.09454682634035,NSW
2025-03-02 22:00:00,40.9875,33.95327,71.2225,Week 1,66.36766,38.05605978640422,NSW
2025-03-02 23:00:00,41.58166666666667,31.692608,71.85000000000001,Week 1,67.607544,34.80945791029603,NSW
2025-03-03 00:00:00,55.2,31.99968,74.98166666666667,Week 1,67.56092,37.79432561996261,NSW
2025-03-03 01:00:00,58.59333333333333,29.778328,73.88333333333334,Week 1,63.11805,35.07882823336257,NSW
