ds,y,LSTM,Naive,week
2025-03-01 00:00:00,122.85749999999999,106.27817,119.32,Week 1
2025-03-01 01:00:00,139.47083333333333,101.747986,72.9375,Week 1
2025-03-01 02:00:00,122.21333333333331,99.03077,45.27333333333334,Week 1
2025-03-01 03:00:00,128.29416666666663,97.050064,8.41000000000001,Week 1
2025-03-01 04:00:00,127.7708333333333,100.81041,7.5625,Week 1
2025-03-01 05:00:00,137.09666666666664,107.59303,8.954166666666666,Week 1
2025-03-01 06:00:00,148.11,109.22592,6.234166666666681,Week 1
2025-03-01 07:00:00,50.37833333333333,54.628227,-22.03916666666666,Week 1
2025-03-01 08:00:00,17.05083333333333,21.084396,-26.07166666666666,Week 1
2025-03-01 09:00:00,9.45416666666668,7.6726685,-30.983333333333306,Week 1
2025-03-01 10:00:00,1.3941666666666777,-5.259308,-32.347499999999954,Week 1
2025-03-01 11:00:00,-17.29416666666667,-4.601616,-33.50499999999998,Week 1
2025-03-01 12:00:00,-16.931666666666644,-8.186623,-32.74083333333333,Week 1
2025-03-01 13:00:00,3.782500000000013,-9.530106,-19.146666666666647,Week 1
2025-03-01 14:00:00,-0.19333333333331382,-0.28196716,58.276666666666664,Week 1
2025-03-01 15:00:00,36.18583333333334,23.14149,147.13666666666666,Week 1
2025-03-01 16:00:00,32.41333333333334,43.60979,165.44166666666666,Week 1
2025-03-01 17:00:00,50.90250000000001,73.97721,206.64999999999998,Week 1
2025-03-01 18:00:00,25.973333333333343,75.41908,145.66166666666663,Week 1
2025-03-01 19:00:00,113.69166666666666,83.56153,164.71999999999997,Week 1
2025-03-01 20:00:00,105.94583333333333,79.34014,168.16499999999996,Week 1
2025-03-01 21:00:00,110.62916666666666,80.78679,128.23916666666665,Week 1
2025-03-01 22:00:00,122.94749999999999,80.040436,117.0033333333333,Week 1
2025-03-01 23:00:00,112.9433333333333,87.662506,135.24666666666664,Week 1
2025-03-02 00:00:00,86.30833333333332,77.863,143.6275,Week 1
2025-03-02 01:00:00,73.08749999999999,75.27429,193.68833333333336,Week 1
2025-03-02 02:00:00,74.22166666666668,65.4413,143.3358333333333,Week 1
2025-03-02 03:00:00,69.4225,64.05632,126.69,Week 1
2025-03-02 04:00:00,64.91083333333334,60.768303,109.2525,Week 1
2025-03-02 05:00:00,76.59416666666667,76.75322,257.23833333333323,Week 1
2025-03-02 06:00:00,55.967500000000015,66.8239,133.1966666666667,Week 1
2025-03-02 07:00:00,13.235000000000007,30.451595,19.166666666666686,Week 1
2025-03-02 08:00:00,10.287500000000009,12.826862,-15.67749999999998,Week 1
2025-03-02 09:00:00,17.804166666666674,-14.389175,-22.95833333333333,Week 1
2025-03-02 10:00:00,-18.25749999999998,-25.148674,-29.75999999999999,Week 1
2025-03-02 11:00:00,-15.455833333333317,-34.1529,-12.319999999999993,Week 1
2025-03-02 12:00:00,-23.813333333333333,-39.47139,-20.409999999999997,Week 1
2025-03-02 13:00:00,-27.563333333333333,-36.714447,-29.935833333333292,Week 1
2025-03-02 14:00:00,-29.379999999999995,-35.196198,-66.45666666666668,Week 1
2025-03-02 15:00:00,-51.75749999999995,-39.94552,-46.91333333333331,Week 1
2025-03-02 16:00:00,-38.229999999999976,-17.453903,-37.95583333333333,Week 1
