Week,Start,End,MAE,rMAE,RMSE,SMAPE,MBE
Week 1,2025-03-01,2025-03-07,31.792484161125984,1.1188740474894758,39.610738806097785,0.5617952012536833,27.076695531031778
Week 2,2025-03-08,2025-03-14,45.26669335049754,1.2623452725448483,104.19059508109066,0.7151677240859036,-36.02319377389532
Week 3,2025-03-15,2025-03-21,28.710448571323727,0.7896628356977902,39.70692386156418,0.48522696309064384,-14.267127736806168
Week 4,2025-03-22,2025-03-28,31.650374706393926,0.7435088400988564,36.81073704354568,0.3395180767257139,29.147341362636293
