ds,y,SARIMAX,week
2025-03-01 00:00:00,115.04583333333332,128.70929008895018,Week 1
2025-03-01 01:00:00,126.56666666666666,123.3015290602159,Week 1
2025-03-01 02:00:00,109.51333333333334,122.14905362294584,Week 1
2025-03-01 03:00:00,111.9025,114.95761108615274,Week 1
2025-03-01 04:00:00,116.58166666666666,114.19444638383187,Week 1
2025-03-01 05:00:00,128.17416666666665,127.38299270581264,Week 1
2025-03-01 06:00:00,123.05166666666665,124.2309732563836,Week 1
2025-03-01 07:00:00,-14.720000000000027,17.012382290103574,Week 1
2025-03-01 08:00:00,-27.337499999999963,-45.79238531501535,Week 1
2025-03-01 09:00:00,-30.11666666666669,-62.599538294347795,Week 1
2025-03-01 10:00:00,-32.416666666666686,-43.090090109848134,Week 1
2025-03-01 11:00:00,-34.11083333333333,-59.58728210472667,Week 1
2025-03-01 12:00:00,-34.127500000000026,-76.61959799308683,Week 1
2025-03-01 13:00:00,-30.724999999999994,-50.55837948305846,Week 1
2025-03-01 14:00:00,-26.569166666666618,-22.272756496792866,Week 1
2025-03-01 15:00:00,-17.6133333333333,5.197186060475943,Week 1
2025-03-01 16:00:00,11.405000000000015,21.477403647185085,Week 1
2025-03-01 17:00:00,109.35833333333332,121.22444314695909,Week 1
2025-03-01 18:00:00,163.66916666666665,199.42990557138597,Week 1
2025-03-01 19:00:00,134.46166666666667,162.92580498759946,Week 1
2025-03-01 20:00:00,116.17416666666666,127.43381862749969,Week 1
2025-03-01 21:00:00,112.20666666666666,127.80028945274456,Week 1
2025-03-01 22:00:00,123.39583333333331,124.37911097257097,Week 1
2025-03-01 23:00:00,121.78583333333334,107.09417939461864,Week 1
2025-03-02 00:00:00,95.10166666666667,115.65577371907473,Week 1
2025-03-02 01:00:00,81.395,99.32083363110402,Week 1
2025-03-02 02:00:00,81.54166666666667,94.09120246730964,Week 1
2025-03-02 03:00:00,76.13833333333334,90.80154610579392,Week 1
2025-03-02 04:00:00,70.94916666666668,89.50232839508277,Week 1
2025-03-02 05:00:00,80.22333333333333,100.73295666925465,Week 1
2025-03-02 06:00:00,57.991666666666674,93.10853258457112,Week 1
2025-03-02 07:00:00,-32.392499999999984,-60.09895542769529,Week 1
2025-03-02 08:00:00,-32.920000000000016,-108.79039786901443,Week 1
2025-03-02 09:00:00,-31.519166666666663,-66.5426279312836,Week 1
2025-03-02 10:00:00,-30.69416666666666,-22.226502767520827,Week 1
2025-03-02 11:00:00,-30.001666666666665,-20.512685176771967,Week 1
2025-03-02 12:00:00,-27.77333333333334,-20.202177836403663,Week 1
2025-03-02 13:00:00,-26.43500000000003,-13.281130715882568,Week 1
2025-03-02 14:00:00,-26.02499999999999,-5.135685053198486,Week 1
2025-03-02 15:00:00,26.170833333333334,23.462115060452675,Week 1
2025-03-02 16:00:00,39.145,25.903409347957997,Week 1
2025-03-02 17:00:00,93.9775,131.16262791669197,Week 1
2025-03-02 18:00:00,109.05583333333334,206.06130961868496,Week 1
2025-03-02 19:00:00,87.68416666666667,145.3612436269295,Week 1
2025-03-02 20:00:00,63.018333333333345,106.28945315635414,Week 1
2025-03-02 21:00:00,55.134166666666665,101.74784018910435,Week 1
2025-03-02 22:00:00,49.7475,97.94224057951858,Week 1
2025-03-02 23:00:00,54.08416666666667,87.94071191408028,Week 1
2025-03-03 00:00:00,61.92416666666668,99.2601031530696,Week 1
2025-03-03 01:00:00,64.78916666666667,91.43628454924666,Week 1
2025-03-03 02:00:00,64.31583333333333,91.60077258097894,Week 1
2025-03-03 03:00:00,65.00916666666667,94.08787881018269,Week 1
2025-03-03 04:00:00,64.31083333333333,95.9279117300217,Week 1
2025-03-03 05:00:00,91.38583333333334,121.86785306978197,Week 1
2025-03-03 06:00:00,114.40416666666664,144.48018486311128,Week 1
2025-03-03 07:00:00,49.41333333333332,64.54875624352906,Week 1
2025-03-03 08:00:00,47.29916666666667,57.50461475202596,Week 1
2025-03-03 09:00:00,70.7925,63.045125658219234,Week 1
2025-03-03 10:00:00,84.53750000000001,79.57869787141013,Week 1
2025-03-03 11:00:00,21.409166666666664,70.13781506397643,Week 1
2025-03-03 12:00:00,7.74166666666666,57.19924945095654,Week 1
2025-03-03 13:00:00,33.16833333333333,58.989408362601836,Week 1
2025-03-03 14:00:00,49.20416666666667,68.174788013853,Week 1
2025-03-03 15:00:00,12.900000000000006,56.21063768654224,Week 1
2025-03-03 16:00:00,-30.870000000000005,13.687462227847348,Week 1
2025-03-03 17:00:00,71.95166666666667,120.95343082933948,Week 1
2025-03-03 18:00:00,181.97250000000003,214.04919336145673,Week 1
2025-03-03 19:00:00,127.34583333333332,168.5041944812728,Week 1
2025-03-03 20:00:00,99.56166666666668,121.76567916995853,Week 1
2025-03-03 21:00:00,77.75583333333334,108.9108584776616,Week 1
2025-03-03 22:00:00,83.69416666666667,111.4862547674378,Week 1
2025-03-03 23:00:00,88.7675,97.92756973072046,Week 1
2025-03-04 00:00:00,89.62416666666667,106.41421255499097,Week 1
2025-03-04 01:00:00,84.22166666666666,95.28867040837186,Week 1
2025-03-04 02:00:00,80.27499999999999,91.61625435424597,Week 1
2025-03-04 03:00:00,80.2525,94.09378957643919,Week 1
2025-03-04 04:00:00,86.105,105.9952505370841,Week 1
2025-03-04 05:00:00,123.92916666666667,137.93541110247057,Week 1
2025-03-04 06:00:00,145.20916666666668,169.67976003196304,Week 1
2025-03-04 07:00:00,9.899999999999991,70.5574479488045,Week 1
2025-03-04 08:00:00,-11.404166666666654,50.918717032627086,Week 1
2025-03-04 09:00:00,14.237499999999997,53.572128070987816,Week 1
2025-03-04 10:00:00,28.942499999999995,69.58866774237507,Week 1
2025-03-04 11:00:00,31.14333333333333,70.5278490904267,Week 1
2025-03-04 12:00:00,29.84083333333332,68.88760946149579,Week 1
2025-03-04 13:00:00,62.61166666666666,74.02097648747667,Week 1
2025-03-04 14:00:00,37.57000000000001,74.6498782122175,Week 1
2025-03-04 15:00:00,42.07166666666666,80.66482783498093,Week 1
2025-03-04 16:00:00,74.83166666666666,96.90225005744276,Week 1
2025-03-04 17:00:00,162.08333333333331,195.734375063024,Week 1
2025-03-04 18:00:00,229.7641666666667,270.2318016497418,Week 1
2025-03-04 19:00:00,199.52166666666668,204.96746453146307,Week 1
2025-03-04 20:00:00,131.83,151.62442195816874,Week 1
2025-03-04 21:00:00,104.44916666666666,136.99824987415846,Week 1
2025-03-04 22:00:00,94.63,131.95295020957076,Week 1
2025-03-04 23:00:00,99.925,123.41345016703072,Week 1
2025-03-05 00:00:00,94.51833333333332,132.35855466059937,Week 1
2025-03-05 01:00:00,92.39666666666666,121.35946665253212,Week 1
2025-03-05 02:00:00,86.0475,113.86868040695263,Week 1
2025-03-05 03:00:00,81.54833333333333,107.6127635664835,Week 1
2025-03-05 04:00:00,78.02,113.26043293134198,Week 1
2025-03-05 05:00:00,101.56416666666668,136.81568264315723,Week 1
2025-03-05 06:00:00,126.51083333333335,179.45299769104685,Week 1
2025-03-05 07:00:00,42.139166666666675,90.6785686779108,Week 1
2025-03-05 08:00:00,34.03333333333333,65.17401508606406,Week 1
2025-03-05 09:00:00,11.58750000000002,52.40338086449954,Week 1
2025-03-05 10:00:00,-17.752499999999998,54.8866071814822,Week 1
2025-03-05 11:00:00,-27.0475,43.62140148974308,Week 1
2025-03-05 12:00:00,-1.5349999999999824,55.103903944954865,Week 1
2025-03-05 13:00:00,14.255833333333342,57.17908376996118,Week 1
2025-03-05 14:00:00,42.766666666666666,75.61340502366438,Week 1
2025-03-05 15:00:00,58.06,76.21046683841625,Week 1
2025-03-05 16:00:00,81.84,96.97427654241193,Week 1
2025-03-05 17:00:00,169.52916666666664,179.0185204960075,Week 1
2025-03-05 18:00:00,290.23833333333334,277.401408434347,Week 1
2025-03-05 19:00:00,176.54416666666668,208.83375835626532,Week 1
2025-03-05 20:00:00,158.17916666666667,160.79403429779825,Week 1
2025-03-05 21:00:00,157.20166666666665,149.32913000418216,Week 1
2025-03-05 22:00:00,151.0475,135.947071281961,Week 1
2025-03-05 23:00:00,111.91416666666666,112.03899926285173,Week 1
2025-03-06 00:00:00,95.9175,116.68923201619714,Week 1
2025-03-06 01:00:00,88.15083333333332,105.9718208074418,Week 1
2025-03-06 02:00:00,81.91416666666667,98.10093463073731,Week 1
2025-03-06 03:00:00,77.99833333333333,98.82823806159655,Week 1
2025-03-06 04:00:00,84.10166666666667,101.88917120897925,Week 1
2025-03-06 05:00:00,117.40500000000002,125.64159829439481,Week 1
2025-03-06 06:00:00,134.7525,152.53787273267523,Week 1
2025-03-06 07:00:00,13.13666666666667,59.30119061244548,Week 1
2025-03-06 08:00:00,0.235833333333332,44.90026586398554,Week 1
2025-03-06 09:00:00,11.827500000000015,58.05454167557096,Week 1
2025-03-06 10:00:00,-11.818333333333314,62.50650537653489,Week 1
2025-03-06 11:00:00,-25.11750000000002,59.366875279783116,Week 1
2025-03-06 12:00:00,-27.414166666666688,48.17741141065708,Week 1
2025-03-06 13:00:00,-25.213333333333324,53.17824771542175,Week 1
2025-03-06 14:00:00,33.31166666666667,75.18815115993219,Week 1
2025-03-06 15:00:00,61.92750000000001,87.71733282298516,Week 1
2025-03-06 16:00:00,54.748333333333335,89.34095398654219,Week 1
2025-03-06 17:00:00,95.28083333333332,132.5496639070191,Week 1
2025-03-06 18:00:00,208.08749999999998,198.66731805118383,Week 1
2025-03-06 19:00:00,168.92166666666662,155.83058634597006,Week 1
2025-03-06 20:00:00,101.1175,113.31427279685539,Week 1
2025-03-06 21:00:00,96.16083333333334,103.08964307460303,Week 1
2025-03-06 22:00:00,106.84916666666668,107.73426767983038,Week 1
2025-03-06 23:00:00,89.90333333333332,102.35790298065432,Week 1
2025-03-07 00:00:00,84.155,114.40838168784136,Week 1
2025-03-07 01:00:00,80.51333333333334,98.8062698531801,Week 1
2025-03-07 02:00:00,66.69166666666666,91.74002649352934,Week 1
2025-03-07 03:00:00,62.69833333333334,91.7223037895676,Week 1
2025-03-07 04:00:00,68.26166666666667,89.46360654628657,Week 1
2025-03-07 05:00:00,80.045,106.4376549487312,Week 1
2025-03-07 06:00:00,84.21249999999999,128.6190911928226,Week 1
2025-03-07 07:00:00,12.338333333333324,67.02754108972104,Week 1
2025-03-07 08:00:00,15.278333333333336,73.20933984845648,Week 1
2025-03-07 09:00:00,-16.22916666666667,80.57858518562188,Week 1
2025-03-07 10:00:00,-24.41250000000001,85.39618317745047,Week 1
2025-03-07 11:00:00,-24.711666666666645,83.88548050145084,Week 1
2025-03-07 12:00:00,-26.54250000000006,76.26940919670871,Week 1
2025-03-07 13:00:00,-25.968333333333348,78.97276191796087,Week 1
2025-03-07 14:00:00,-26.070000000000007,80.537372814862,Week 1
2025-03-07 15:00:00,6.0874999999999915,84.64979300746161,Week 1
2025-03-07 16:00:00,42.63666666666666,85.43021983465223,Week 1
2025-03-07 17:00:00,98.38916666666668,151.9082336319838,Week 1
2025-03-07 18:00:00,130.6575,205.54054903113683,Week 1
2025-03-07 19:00:00,115.9175,163.3589991355285,Week 1
2025-03-07 20:00:00,100.3875,131.79669149211594,Week 1
2025-03-07 21:00:00,85.94166666666666,120.75310323445456,Week 1
2025-03-07 22:00:00,81.9325,108.8272937391043,Week 1
2025-03-07 23:00:00,80.58166666666666,96.51652430723075,Week 1
2025-03-08 00:00:00,68.48333333333333,72.08273146117861,Week 2
2025-03-08 01:00:00,67.08166666666666,67.04733250292895,Week 2
2025-03-08 02:00:00,62.74166666666667,58.03310120302365,Week 2
2025-03-08 03:00:00,55.77333333333334,53.90651579870639,Week 2
2025-03-08 04:00:00,50.390833333333326,58.61006625618481,Week 2
2025-03-08 05:00:00,34.35166666666666,71.04708097988454,Week 2
2025-03-08 06:00:00,34.06083333333333,67.96272411382205,Week 2
2025-03-08 07:00:00,-21.929999999999993,-23.063131693801196,Week 2
2025-03-08 08:00:00,-25.4375,-12.42299367120468,Week 2
2025-03-08 09:00:00,-20.394166666666635,9.00046527996382,Week 2
2025-03-08 10:00:00,12.050833333333344,26.646696485808334,Week 2
2025-03-08 11:00:00,-1.5783333333333474,22.952586476048793,Week 2
2025-03-08 12:00:00,-0.24916666666669585,20.23951105548801,Week 2
2025-03-08 13:00:00,0.6766666666666765,23.403613379897138,Week 2
2025-03-08 14:00:00,-15.711666666666645,30.43389527091859,Week 2
2025-03-08 15:00:00,-8.054999999999993,39.67574275809205,Week 2
2025-03-08 16:00:00,2.3566666666666833,31.484723838583903,Week 2
2025-03-08 17:00:00,73.49833333333333,84.9653995886839,Week 2
2025-03-08 18:00:00,92.42583333333334,131.25660005184685,Week 2
2025-03-08 19:00:00,88.75999999999999,119.9895741545499,Week 2
2025-03-08 20:00:00,83.11,89.26595534385397,Week 2
2025-03-08 21:00:00,80.09166666666667,73.74939498851813,Week 2
2025-03-08 22:00:00,79.65083333333334,77.53649404188042,Week 2
2025-03-08 23:00:00,75.96083333333333,72.54818189677968,Week 2
2025-03-09 00:00:00,75.87666666666667,66.47954511100205,Week 2
2025-03-09 01:00:00,80.34666666666666,72.20031437729403,Week 2
2025-03-09 02:00:00,75.62833333333333,71.19875364505224,Week 2
2025-03-09 03:00:00,77.2475,62.979022162238905,Week 2
2025-03-09 04:00:00,67.9475,63.37707718538515,Week 2
2025-03-09 05:00:00,60.33583333333334,66.77604963602667,Week 2
2025-03-09 06:00:00,49.715,66.51486462976095,Week 2
2025-03-09 07:00:00,-3.169166666666655,14.22247471000027,Week 2
2025-03-09 08:00:00,7.48583333333336,37.07197404637568,Week 2
2025-03-09 09:00:00,-18.577500000000015,16.53816402212439,Week 2
2025-03-09 10:00:00,-21.93666666666668,21.312955030895935,Week 2
2025-03-09 11:00:00,-3.8641666666666623,19.13165008518972,Week 2
2025-03-09 12:00:00,8.306666666666672,30.871467271096655,Week 2
2025-03-09 13:00:00,8.637500000000003,30.116860547585752,Week 2
2025-03-09 14:00:00,54.98833333333334,34.11121880425412,Week 2
2025-03-09 15:00:00,56.23416666666665,48.46941755706497,Week 2
2025-03-09 16:00:00,29.735833333333332,43.01248275643617,Week 2
2025-03-09 17:00:00,72.30833333333334,84.58575408972776,Week 2
2025-03-09 18:00:00,96.66999999999999,120.96552933906688,Week 2
2025-03-09 19:00:00,68.49666666666667,82.46219959783883,Week 2
2025-03-09 20:00:00,66.86916666666667,50.04800802741268,Week 2
2025-03-09 21:00:00,82.73083333333334,51.7096391965296,Week 2
2025-03-09 22:00:00,83.62583333333333,65.99750320358072,Week 2
2025-03-09 23:00:00,79.24666666666667,58.85726445237458,Week 2
2025-03-10 00:00:00,82.3875,56.59723447933423,Week 2
2025-03-10 01:00:00,73.73416666666667,53.960532589312486,Week 2
2025-03-10 02:00:00,75.10916666666667,44.719693109830075,Week 2
2025-03-10 03:00:00,67.93666666666667,39.03213155473687,Week 2
2025-03-10 04:00:00,66.00666666666666,40.099097325020125,Week 2
2025-03-10 05:00:00,79.02,63.97432877643664,Week 2
2025-03-10 06:00:00,88.23833333333333,89.86556034471506,Week 2
2025-03-10 07:00:00,85.49833333333333,55.38999949836179,Week 2
2025-03-10 08:00:00,76.41583333333334,74.27457553325748,Week 2
2025-03-10 09:00:00,79.44666666666667,70.46158009652162,Week 2
2025-03-10 10:00:00,79.57916666666667,73.12403069579008,Week 2
2025-03-10 11:00:00,72.7525,71.96405189013574,Week 2
2025-03-10 12:00:00,58.83833333333334,63.38310835928286,Week 2
2025-03-10 13:00:00,68.62666666666667,67.32516269307521,Week 2
2025-03-10 14:00:00,73.48416666666667,71.85093691211522,Week 2
2025-03-10 15:00:00,72.61166666666666,76.34971994314647,Week 2
2025-03-10 16:00:00,80.7375,67.15698707002124,Week 2
2025-03-10 17:00:00,85.07166666666667,79.75406294855074,Week 2
2025-03-10 18:00:00,91.63166666666666,103.77392316760094,Week 2
2025-03-10 19:00:00,81.44916666666667,78.8552448020572,Week 2
2025-03-10 20:00:00,71.84833333333334,45.196446402045915,Week 2
2025-03-10 21:00:00,75.43416666666667,32.12258844023588,Week 2
2025-03-10 22:00:00,76.41,45.38795048558301,Week 2
2025-03-10 23:00:00,72.81416666666667,49.87901470126459,Week 2
2025-03-11 00:00:00,74.10833333333333,47.875383955191005,Week 2
2025-03-11 01:00:00,71.10416666666667,48.98362750820925,Week 2
2025-03-11 02:00:00,76.66833333333334,47.76874369704338,Week 2
2025-03-11 03:00:00,73.8425,45.466956987649496,Week 2
2025-03-11 04:00:00,87.34333333333332,63.48907597568136,Week 2
2025-03-11 05:00:00,110.75416666666666,86.83363198199957,Week 2
2025-03-11 06:00:00,126.82833333333332,103.4037975034191,Week 2
2025-03-11 07:00:00,93.85,63.988765088248655,Week 2
2025-03-11 08:00:00,63.896666666666675,65.76936625894643,Week 2
2025-03-11 09:00:00,20.263333333333335,38.34775712700044,Week 2
2025-03-11 10:00:00,-21.850833333333327,9.420557100229757,Week 2
2025-03-11 11:00:00,-13.084999999999994,-7.205326452061513,Week 2
2025-03-11 12:00:00,10.124166666666667,5.2867588964838745,Week 2
2025-03-11 13:00:00,63.45750000000001,30.978196540378313,Week 2
2025-03-11 14:00:00,85.16333333333334,60.23039807718438,Week 2
2025-03-11 15:00:00,74.79,61.15011857702467,Week 2
2025-03-11 16:00:00,79.17583333333333,56.431102206899524,Week 2
2025-03-11 17:00:00,106.41083333333334,84.25703595535599,Week 2
