ds,y,LSTM,Naive,week
2025-03-01 00:00:00,115.04583333333332,94.83036,80.34833333333333,Week 1
2025-03-01 01:00:00,126.56666666666666,96.33794,71.74166666666666,Week 1
2025-03-01 02:00:00,109.51333333333334,93.88112,59.2775,Week 1
2025-03-01 03:00:00,111.9025,88.186264,56.7525,Week 1
2025-03-01 04:00:00,116.58166666666666,88.64239,57.46666666666667,Week 1
2025-03-01 05:00:00,128.17416666666665,93.23277,56.884166666666665,Week 1
2025-03-01 06:00:00,123.05166666666665,80.24683,36.47666666666667,Week 1
2025-03-01 07:00:00,-14.720000000000027,10.956604,-24.66666666666667,Week 1
2025-03-01 08:00:00,-27.337499999999963,-26.77407,-32.147499999999965,Week 1
2025-03-01 09:00:00,-30.11666666666669,-33.762573,-33.110000000000014,Week 1
2025-03-01 10:00:00,-32.416666666666686,-34.17627,-32.370833333333294,Week 1
2025-03-01 11:00:00,-34.11083333333333,-35.73751,-32.64083333333333,Week 1
2025-03-01 12:00:00,-34.127500000000026,-35.571022,-29.299166666666693,Week 1
2025-03-01 13:00:00,-30.724999999999994,-26.33162,-29.027500000000003,Week 1
2025-03-01 14:00:00,-26.569166666666618,-11.76593,-25.864166666666662,Week 1
2025-03-01 15:00:00,-17.6133333333333,15.131744,-22.518333333333317,Week 1
2025-03-01 16:00:00,11.405000000000015,52.974022,-13.283333333333317,Week 1
2025-03-01 17:00:00,109.35833333333332,111.33947,48.53333333333333,Week 1
2025-03-01 18:00:00,163.66916666666665,158.5117,113.29833333333336,Week 1
2025-03-01 19:00:00,134.46166666666667,144.534,100.4125,Week 1
2025-03-01 20:00:00,116.17416666666666,128.95743,89.7925,Week 1
2025-03-01 21:00:00,112.20666666666666,122.60742,93.2725,Week 1
2025-03-01 22:00:00,123.39583333333331,108.421394,89.56083333333333,Week 1
2025-03-01 23:00:00,121.78583333333334,94.93639,80.83583333333333,Week 1
2025-03-02 00:00:00,95.10166666666667,87.95206,77.2675,Week 1
2025-03-02 01:00:00,81.395,81.98311,78.71333333333332,Week 1
2025-03-02 02:00:00,81.54166666666667,78.30153,76.2525,Week 1
2025-03-02 03:00:00,76.13833333333334,77.9089,76.24,Week 1
2025-03-02 04:00:00,70.94916666666668,78.22008,77.9375,Week 1
2025-03-02 05:00:00,80.22333333333333,82.38757,76.2975,Week 1
2025-03-02 06:00:00,57.991666666666674,63.38319,53.91416666666667,Week 1
2025-03-02 07:00:00,-32.392499999999984,-12.902634,-25.362500000000026,Week 1
2025-03-02 08:00:00,-32.920000000000016,-35.58416,-30.377499999999984,Week 1
2025-03-02 09:00:00,-31.519166666666663,-34.101456,-28.855833333333322,Week 1
2025-03-02 10:00:00,-30.69416666666666,-30.546448,-29.34916666666666,Week 1
2025-03-02 11:00:00,-30.001666666666665,-28.35682,-28.026666666666685,Week 1
2025-03-02 12:00:00,-27.77333333333334,-24.655724,-28.531666666666652,Week 1
2025-03-02 13:00:00,-26.43500000000003,-19.812874,-28.989166666666662,Week 1
2025-03-02 14:00:00,-26.02499999999999,-9.719749,1.5716666666666725,Week 1
2025-03-02 15:00:00,26.170833333333334,23.644958,46.59083333333333,Week 1
2025-03-02 16:00:00,39.145,57.562344,77.0925,Week 1
2025-03-02 17:00:00,93.9775,121.47072,99.79666666666668,Week 1
2025-03-02 18:00:00,109.05583333333334,160.53995,116.1,Week 1
2025-03-02 19:00:00,87.68416666666667,135.2023,93.2625,Week 1
2025-03-02 20:00:00,63.018333333333345,110.40005,82.35416666666667,Week 1
2025-03-02 21:00:00,55.134166666666665,102.44199,78.32333333333334,Week 1
2025-03-02 22:00:00,49.7475,88.89904,75.58,Week 1
2025-03-02 23:00:00,54.08416666666667,81.095314,75.89666666666666,Week 1
2025-03-03 00:00:00,61.92416666666668,79.60363,79.26333333333334,Week 1
2025-03-03 01:00:00,64.78916666666667,78.121765,76.61166666666666,Week 1
2025-03-03 02:00:00,64.31583333333333,77.22868,77.2075,Week 1
2025-03-03 03:00:00,65.00916666666667,77.170456,76.11166666666666,Week 1
2025-03-03 04:00:00,64.31083333333333,79.26017,87.18833333333333,Week 1
2025-03-03 05:00:00,91.38583333333334,93.10924,107.16,Week 1
2025-03-03 06:00:00,114.40416666666664,94.83297,84.97833333333334,Week 1
2025-03-03 07:00:00,49.41333333333332,45.487843,17.889166666666654,Week 1
2025-03-03 08:00:00,47.29916666666667,19.693275,-0.9783333333333246,Week 1
2025-03-03 09:00:00,70.7925,15.806938,-1.4583333333333144,Week 1
2025-03-03 10:00:00,84.53750000000001,18.911278,-16.269166666666663,Week 1
2025-03-03 11:00:00,21.409166666666664,15.602325,-23.38000000000001,Week 1
2025-03-03 12:00:00,7.74166666666666,11.480156,-27.09833333333333,Week 1
2025-03-03 13:00:00,33.16833333333333,16.667389,-2.8100000000000023,Week 1
2025-03-03 14:00:00,49.20416666666667,30.77845,14.649166666666659,Week 1
2025-03-03 15:00:00,12.900000000000006,32.382793,17.69916666666667,Week 1
2025-03-03 16:00:00,-30.870000000000005,39.824177,49.501666666666665,Week 1
2025-03-03 17:00:00,71.95166666666667,103.05972,162.99416666666667,Week 1
2025-03-03 18:00:00,181.97250000000003,149.5672,223.94000000000005,Week 1
2025-03-03 19:00:00,127.34583333333332,137.53328,134.64916666666667,Week 1
2025-03-03 20:00:00,99.56166666666668,116.21761,93.09083333333332,Week 1
2025-03-03 21:00:00,77.75583333333334,103.54108,85.88166666666666,Week 1
2025-03-03 22:00:00,83.69416666666667,94.66814,80.52416666666666,Week 1
2025-03-03 23:00:00,88.7675,84.84611,80.8275,Week 1
2025-03-04 00:00:00,89.62416666666667,81.89958,81.6725,Week 1
2025-03-04 01:00:00,84.22166666666666,78.92217,79.43916666666667,Week 1
2025-03-04 02:00:00,80.27499999999999,76.05338,77.42583333333333,Week 1
2025-03-04 03:00:00,80.2525,75.9047,77.955,Week 1
2025-03-04 04:00:00,86.105,83.38511,80.39999999999999,Week 1
2025-03-04 05:00:00,123.92916666666667,98.77664,97.425,Week 1
2025-03-04 06:00:00,145.20916666666668,103.00609,94.375,Week 1
2025-03-04 07:00:00,9.899999999999991,46.709743,50.89166666666668,Week 1
2025-03-04 08:00:00,-11.404166666666654,8.53595,-1.4866666666666504,Week 1
2025-03-04 09:00:00,14.237499999999997,1.397583,-26.414999999999992,Week 1
2025-03-04 10:00:00,28.942499999999995,4.8326187,-27.054999999999993,Week 1
2025-03-04 11:00:00,31.14333333333333,9.06086,-25.241666666666646,Week 1
2025-03-04 12:00:00,29.84083333333332,11.577827,-26.739166666666648,Week 1
2025-03-04 13:00:00,62.61166666666666,19.351639,-20.171666666666653,Week 1
2025-03-04 14:00:00,37.57000000000001,29.697773,38.295,Week 1
2025-03-04 15:00:00,42.07166666666666,48.35894,49.62833333333334,Week 1
2025-03-04 16:00:00,74.83166666666666,87.07695,23.890833333333333,Week 1
2025-03-04 17:00:00,162.08333333333331,140.7423,77.53416666666666,Week 1
2025-03-04 18:00:00,229.7641666666667,172.42929,122.48916666666666,Week 1
2025-03-04 19:00:00,199.52166666666668,151.18346,106.23583333333332,Week 1
2025-03-04 20:00:00,131.83,128.90782,87.42666666666668,Week 1
2025-03-04 21:00:00,104.44916666666666,114.41099,85.42416666666666,Week 1
2025-03-04 22:00:00,94.63,103.28119,80.9975,Week 1
2025-03-04 23:00:00,99.925,95.867004,75.22666666666667,Week 1
2025-03-05 00:00:00,94.51833333333332,91.715965,79.2625,Week 1
2025-03-05 01:00:00,92.39666666666666,89.0695,76.36333333333333,Week 1
2025-03-05 02:00:00,86.0475,84.395996,74.4325,Week 1
2025-03-05 03:00:00,81.54833333333333,82.32488,74.7525,Week 1
2025-03-05 04:00:00,78.02,86.653305,75.13666666666667,Week 1
2025-03-05 05:00:00,101.56416666666668,97.792404,89.09083333333332,Week 1
2025-03-05 06:00:00,126.51083333333335,104.88219,93.05083333333332,Week 1
2025-03-05 07:00:00,42.139166666666675,62.755318,23.734166666666667,Week 1
2025-03-05 08:00:00,34.03333333333333,27.96194,-8.299166666666679,Week 1
2025-03-05 09:00:00,11.58750000000002,6.25753,-27.56499999999997,Week 1
2025-03-05 10:00:00,-17.752499999999998,-2.050621,-29.1666666666667,Week 1
2025-03-05 11:00:00,-27.0475,-5.197624,-26.395833333333286,Week 1
2025-03-05 12:00:00,-1.5349999999999824,9.010147,-27.620000000000047,Week 1
2025-03-05 13:00:00,14.255833333333342,16.263428,-27.193333333333342,Week 1
2025-03-05 14:00:00,42.766666666666666,37.90669,-24.96833333333332,Week 1
2025-03-05 15:00:00,58.06,55.316364,21.393333333333317,Week 1
2025-03-05 16:00:00,81.84,96.304276,41.005,Week 1
2025-03-05 17:00:00,169.52916666666664,142.35269,118.03916666666666,Week 1
2025-03-05 18:00:00,290.23833333333334,186.58649,196.2433333333333,Week 1
2025-03-05 19:00:00,176.54416666666668,167.99261,141.83333333333334,Week 1
2025-03-05 20:00:00,158.17916666666667,145.00417,105.24166666666667,Week 1
2025-03-05 21:00:00,157.20166666666665,132.50735,98.6225,Week 1
2025-03-05 22:00:00,151.0475,115.91621,94.11416666666666,Week 1
2025-03-05 23:00:00,111.91416666666666,96.835556,84.11833333333333,Week 1
2025-03-06 00:00:00,95.9175,88.6028,89.705,Week 1
2025-03-06 01:00:00,88.15083333333332,85.30265,86.255,Week 1
2025-03-06 02:00:00,81.91416666666667,80.048454,91.96999999999998,Week 1
2025-03-06 03:00:00,77.99833333333333,79.192276,95.185,Week 1
2025-03-06 04:00:00,84.10166666666667,81.716484,95.16,Week 1
2025-03-06 05:00:00,117.40500000000002,91.494484,122.825,Week 1
2025-03-06 06:00:00,134.7525,97.35289,165.33333333333334,Week 1
2025-03-06 07:00:00,13.13666666666667,42.030735,34.318333333333335,Week 1
2025-03-06 08:00:00,0.235833333333332,10.869377,-20.03250000000004,Week 1
2025-03-06 09:00:00,11.827500000000015,9.422264,-21.01833333333333,Week 1
2025-03-06 10:00:00,-11.818333333333314,7.5178604,-26.956666666666678,Week 1
2025-03-06 11:00:00,-25.11750000000002,12.388771,-28.866666666666646,Week 1
2025-03-06 12:00:00,-27.414166666666688,9.067581,-27.90416666666667,Week 1
2025-03-06 13:00:00,-25.213333333333324,20.59076,-27.229166666666686,Week 1
2025-03-06 14:00:00,33.31166666666667,44.64507,-16.563333333333347,Week 1
2025-03-06 15:00:00,61.92750000000001,67.53404,3.262500000000017,Week 1
2025-03-06 16:00:00,54.748333333333335,98.25365,37.53083333333333,Week 1
2025-03-06 17:00:00,95.28083333333332,130.74768,177.4625,Week 1
2025-03-06 18:00:00,208.08749999999998,170.30354,265.8391666666667,Week 1
2025-03-06 19:00:00,168.92166666666662,148.14845,222.26666666666665,Week 1
2025-03-06 20:00:00,101.1175,122.659615,133.9175,Week 1
2025-03-06 21:00:00,96.16083333333334,108.49654,121.495,Week 1
2025-03-06 22:00:00,106.84916666666668,98.591446,108.40416666666664,Week 1
2025-03-06 23:00:00,89.90333333333332,92.28873,110.64916666666666,Week 1
2025-03-07 00:00:00,84.155,88.70006,129.16,Week 1
2025-03-07 01:00:00,80.51333333333334,82.72767,105.75666666666666,Week 1
2025-03-07 02:00:00,66.69166666666666,78.039925,99.6875,Week 1
2025-03-07 03:00:00,62.69833333333334,76.594536,98.96666666666664,Week 1
